step,lif1,lif2,lif3,lif4
0,0.1775420508161187,0.08746757628017804,0.04572984573431313,0.003929687606869265
50,0.1410447965934873,0.0032170653674256757,6.250000296859071e-07,0.0
100,0.14072903405874967,0.003345849526322127,0.0,0.0
150,0.1405155397951603,0.003347704993411753,0.0,0.0
200,0.14047441601753233,0.0033343993570997556,0.0,0.0
250,0.14039635851979254,0.003290527245262638,0.0,0.0
300,0.14057911213487387,0.003357714783469418,0.0,0.0
350,0.14054886557161808,0.003305688399595965,0.0,0.0
400,0.1404880205541849,0.003292163027053903,0.0,0.0
450,0.1405581361055374,0.0033520018849958434,0.0,0.0
