step,lif1,lif2,lif3,lif4
0,0.1775420508161187,0.08746757628017804,0.04572984573431313,0.003929687606869265
50,0.25203807115554805,0.31720055490732196,0.29475970141589636,0.14009375309571623
100,0.24775652348995206,0.3050588059425354,0.30785892114043234,0.12370312727987764
150,0.25101110070943833,0.29805658429861065,0.31098532624542713,0.11677343972027303
200,0.2513074740767479,0.29639577001333234,0.3144847006723285,0.11376562662422658
250,0.2536407263576984,0.29041869431734085,0.3147504853457212,0.11140625193715095
300,0.2491045320034027,0.285276800841093,0.3133597033843398,0.11056250154972076
350,0.25120139569044114,0.28295948997139936,0.31338923372328276,0.11008593916893006
400,0.25126085728406905,0.28251596122980116,0.3152617334574461,0.11114062666893006
450,0.24909508630633356,0.2809436218440533,0.3177806398272514,0.1071796888113022
