step,lif1,lif2,lif3,lif4
0,0.22015344798564906,0.12875727195991202,0.08297922315192409,0.04484375082538463
50,0.2621509058773518,0.29692804455757144,0.3019848581030965,0.13039062790572645
100,0.2525644737482071,0.29192999809980397,0.31461610861122613,0.12000000171363354
150,0.25255469501018524,0.2823412282764912,0.31657657764852054,0.11579687684774398
200,0.25398026406764984,0.2794841250777245,0.32026563942432407,0.11231250204145908
250,0.25288597077131275,0.27915963768959046,0.3215536101162434,0.11101562686264514
300,0.2555362004041672,0.2743636921048165,0.3221206410974264,0.11117968916893006
350,0.2557723541557789,0.27041962295770644,0.3237076719105244,0.10945312649011611
400,0.2535619287192821,0.26947694763541225,0.3245506400614977,0.1091718765348196
450,0.25441088125109673,0.268767864704132,0.3247842337936163,0.10808593891561032
