step,lif1,lif2,lif3,lif4
0,0.17656373836100103,0.08740278128526825,0.045515783076407385,0.003601562561816536
50,0.1254381071217358,3.732910047347104e-05,0.0,0.0
100,0.0852386498078704,0.00012836913802402708,0.0,0.0
150,0.07296667641523527,0.00015295409806640237,0.0,0.0
200,0.06248387475032359,0.00021354979856823774,0.0,0.0
250,0.06292668480629801,0.00021535643836614326,0.0,0.0
300,0.06284196777967735,0.0002117919871761842,0.0,0.0
350,0.0626030764429015,0.0002096923775934556,0.0,0.0
400,0.06275677684840049,0.0002070312440537236,0.0,0.0
450,0.06239560428453842,0.0002043212845819653,0.0,0.0
