step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q_conv1,Q_conv2,Q_fc1,Q_fc2,S_conv1,S_conv2,S_fc1,S_fc2,absmu_median_conv1,absmu_median_conv2,absmu_median_fc1,absmu_median_fc2,absmu_q25_conv1,absmu_q25_conv2,absmu_q25_fc1,absmu_q25_fc2,absmu_q75_conv1,absmu_q75_conv2,absmu_q75_fc1,absmu_q75_fc2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,fr_lif1,fr_lif2,fr_lif3,fr_lif4,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.21484513580799103,0.0,0.0,0.0,0.3547177314758301,0.0,0.0,0.16697600483894348,0.0,0.0,0.0,0.0,0.08221817761659622,0.0,0.0,0.0,0.18007074296474457,0.0,0.0,0.001172226620838046,0.3171059787273407,0.0,0.0,0.0,0.46411237120628357,0.0,0.0,0.16329041123390198,0.0,0.0,0.0,0.0,0.04059504717588425,0.0,0.0,0.0,0.013615869916975498,0.0,0.0,0.0012803168501704931,0.08653846383094788,0.06387225538492203,0.04353058710694313,0.6211576461791992,0.20847557485103607,0.12481441348791122,0.02644970268011093,0.8642094135284424,0.0006986389635130763,0.0005317189497873187,0.00012343472917564213,0.0005370829603634775,0.0003344974829815328,0.0002020160754909739,2.562142617534846e-05,4.223584255669266e-05,0.0013295152457430959,0.0010564420372247696,0.00038059070357121527,0.002490590326488018,0.05147768557071686,0.26344284415245056,0.17872726917266846,-0.06637150794267654,-0.2661709785461426,5.067264556884766,0.22457535564899445,0.32451054587960243,0.2767753364890814,0.24932016782462596,0.41114063025452197,1.8232630491256714,1.0396233797073364,2.476444721221924,2.4344539642333984,1.552498459815979,1.6500147581100464,2.3901255130767822,2.371649980545044,2.035193681716919,2.092862367630005
1,0.25649434328079224,0.0,0.0,0.0,0.34787717461586,0.0,0.0,0.14561928808689117,0.0,0.0,0.0,0.0,0.06846103072166443,0.0,0.0,0.0,0.17948609590530396,0.0,0.0,0.0020620806608349085,0.35390567779541016,0.0,0.0,0.0,0.4426110088825226,0.0,0.0,0.1460258960723877,0.0,0.0,0.0,0.0,0.03790602460503578,0.0,0.0,0.0,0.017254892736673355,0.0,0.0,0.002296505495905876,0.09615384787321091,0.05213572829961777,0.04569288715720177,0.6860279440879822,0.24793720245361328,0.12471198290586472,0.030383629724383354,0.8989691734313965,0.0014252087567001581,0.0008543090079911053,0.00020687520736828446,0.0009246747358702123,0.0006555055733770132,0.00034379164571873844,4.461455682758242e-05,7.962174277054146e-05,0.002433798974379897,0.0016195967327803373,0.0006005284376442432,0.0034921513870358467,0.053570106625556946,0.24999168515205383,0.09887517243623734,-0.08670878410339355,-0.23035301268100739,6.197571754455566,0.1390703171491623,0.32380849987268445,0.2741671585291624,0.2455246996879578,0.3505703170830384,3.892380952835083,2.799081802368164,4.248184680938721,4.436296463012695,3.1553499698638916,3.442996025085449,4.4468255043029785,4.150151252746582,3.9853813648223877,4.313043594360352
2,0.2737039625644684,0.0,0.0,0.0,0.3505282402038574,0.0,0.0,0.16107644140720367,0.0,0.0,0.0,0.0,0.06753777712583542,0.0,0.0,0.0,0.14494004845619202,0.0,0.0,0.002213472966104746,0.3648703098297119,0.0,0.0,0.0,0.43406566977500916,0.0,0.0,0.13877160847187042,0.0,0.0,0.0,0.0,0.038682326674461365,0.0,0.0,0.0,0.019892709329724312,0.0,0.0,0.003717361716553569,0.0942307710647583,0.04510978236794472,0.051036205142736435,0.7119760513305664,0.2841012179851532,0.12282122671604156,0.03133309632539749,0.8235252499580383,0.0018485079053789377,0.0011759479530155659,0.0002789346035569906,0.001242599100805819,0.0008851939346641302,0.0004731947847176343,6.150292028905824e-05,0.00011811756121460348,0.003206630703061819,0.0022612111642956734,0.0007615886861458421,0.003945022821426392,0.05842535197734833,0.21467553079128265,0.02471819333732128,-0.09237883985042572,-0.21300293505191803,6.543923377990723,0.09108074009418488,0.32347891584038735,0.27038798220455645,0.2413162609934807,0.32295313125941905,5.917012691497803,4.990345001220703,5.664262294769287,5.082775592803955,4.5918402671813965,5.122391700744629,5.976536750793457,6.044177055358887,5.719700813293457,6.0994367599487305
3,0.27482712268829346,0.0,0.0,0.0,0.3394649922847748,0.0,0.0,0.16403231024742126,0.0,0.0,0.0,0.0,0.0709080845117569,0.0,0.0,0.0,0.1473548859357834,0.0,0.0,0.0034126227255910635,0.37333962321281433,0.0,0.0,0.0,0.435638964176178,0.0,0.0,0.1315992772579193,0.0,0.0,0.0,0.0,0.036725204437971115,0.0,0.0,0.0,0.019205287098884583,0.0,0.0,0.003491645911708474,0.0942307710647583,0.0428343303501606,0.0481548085808754,0.7331337332725525,0.28910425305366516,0.12447425723075867,0.029423467814922333,0.8363628387451172,0.0021077068522572517,0.0013782801106572151,0.0003231749578844756,0.001604915945790708,0.0008212090469896793,0.0005479702958837152,7.262951112352312e-05,0.0001397994055878371,0.0038146197330206633,0.0026340417098253965,0.000883148517459631,0.0047872900031507015,0.055862024426460266,0.22166121006011963,0.0002793455496430397,-0.09430427849292755,-0.21283705532550812,6.879972457885742,0.1009797602891922,0.3234277960658073,0.2660209892690182,0.24063329391181468,0.338148442634847,6.0598225593566895,5.980854511260986,7.083610534667969,6.596047878265381,5.482611179351807,6.795476913452148,7.226580619812012,7.413093090057373,7.491659641265869,7.554075717926025
4,0.25926533341407776,0.0,0.0,0.0,0.3640775978565216,0.0,0.0,0.14904995262622833,0.0,0.0,0.0,0.0,0.06599869579076767,0.0,0.0,0.0,0.15914031863212585,0.0,0.0,0.002468108432367444,0.37148311734199524,0.0,0.0,0.0,0.4391244947910309,0.0,0.0,0.1324891895055771,0.0,0.0,0.0,0.0,0.03571261465549469,0.0,0.0,0.0,0.018249226734042168,0.0,0.0,0.002941357670351863,0.10000000149011612,0.03744510933756828,0.04584519565105438,0.7481037974357605,0.24985256791114807,0.10546168684959412,0.025935156270861626,0.888471245765686,0.0023821769282221794,0.0014775783056393266,0.0003529416280798614,0.001762094907462597,0.0009868827182799578,0.00057494972134009,7.933647430036217e-05,0.0001814692805055529,0.004394770134240389,0.002807088429108262,0.000989578547887504,0.005508170463144779,0.053584024310112,0.22759157419204712,0.038191333413124084,-0.09502717107534409,-0.23099029064178467,7.0406293869018555,0.12768691778182983,0.3268446516990662,0.2635287293046713,0.24064329184591773,0.27902344223111863,6.1838274002075195,5.781843185424805,8.357090950012207,7.846443176269531,6.805948257446289,8.392559051513672,8.267110824584961,8.048057556152344,8.876785278320312,7.716809272766113
5,0.2742439806461334,0.0,0.0,0.0,0.3627951443195343,0.0,0.0,0.13757751882076263,0.0,0.0,0.0,0.0,0.06737475842237473,0.0,0.0,0.0,0.1561339944601059,0.0,0.0,0.0018746486166492105,0.373338907957077,0.0,0.0,0.0,0.4414137601852417,0.0,0.0,0.129341721534729,0.0,0.0,0.0,0.0,0.03421211242675781,0.0,0.0,0.0,0.018443293869495392,0.0,0.0,0.003250212175771594,0.07884615659713745,0.032095808535814285,0.04519600793719292,0.7536925673484802,0.2521817088127136,0.0821804478764534,0.025201790034770966,0.8723559975624084,0.002540790708735585,0.0014957666862756014,0.00036582001484930515,0.0018458438571542501,0.0011628186330199242,0.000590113690122962,8.290068944916129e-05,0.0001932585146278143,0.004829225596040487,0.0028518098406493664,0.0010017448803409934,0.005866872146725655,0.05270947515964508,0.22536779940128326,0.0735120177268982,-0.09555123746395111,-0.251411110162735,7.41772985458374,0.13743522763252258,0.32368757590651515,0.2613841746747494,0.2401682935655117,0.2037734400527552,6.779061317443848,5.761404037475586,8.554120063781738,8.481538772583008,7.968574047088623,9.043195724487305,8.847637176513672,8.711421012878418,9.941133499145508,8.863299369812012
6,0.2800430357456207,0.0,0.0,0.0,0.35246744751930237,0.0,0.0,0.13927921652793884,0.0,0.0,0.0,0.0,0.07267438620328903,0.0,0.0,0.0,0.1539233773946762,0.0,0.0,0.0016125391703099012,0.37680792808532715,0.0,0.0,0.0,0.44349685311317444,0.0,0.0,0.1277054399251938,0.0,0.0,0.0,0.0,0.03205036744475365,0.0,0.0,0.0,0.016980409622192383,0.0,0.0,0.0029589866753667593,0.08461538702249527,0.027345309033989906,0.04154806584119797,0.7590818405151367,0.26971134543418884,0.07248789072036743,0.022198369726538658,0.8794496059417725,0.002625115681439638,0.0014770978596061468,0.0003682525421027094,0.0019837194122374058,0.0013003412168473005,0.0005957226385362446,8.446179708698764e-05,0.00021779992675874382,0.004692264832556248,0.0028520559426397085,0.0009796475060284138,0.005822926759719849,0.04911385476589203,0.2281954288482666,0.05304301902651787,-0.09634526073932648,-0.2570275068283081,7.958439826965332,0.15181094408035278,0.32500345289707183,0.26335119061172013,0.24349970012903216,0.18947656576056032,7.261930465698242,5.868623733520508,9.028632164001465,8.467597961425781,8.683127403259277,10.065159797668457,9.005729675292969,8.903007507324219,10.782760620117188,9.845125198364258
7,0.281684935092926,0.0,0.0,0.0,0.34607237577438354,0.0,0.0,0.13774599134922028,0.0,0.0,0.0,0.0,0.06662764400243759,0.0,0.0,0.0,0.1663540005683899,0.0,0.0,0.0015150596154853702,0.379738986492157,0.0,0.0,0.0,0.4420873820781708,0.0,0.0,0.12903811037540436,0.0,0.0,0.0,0.0,0.029830100014805794,0.0,0.0,0.0,0.016425931826233864,0.0,0.0,0.0028795048128813505,0.0942307710647583,0.02726546861231327,0.03843945264816284,0.7796406745910645,0.2590430974960327,0.06708846241235733,0.02032112143933773,0.892841100692749,0.0028720060363411903,0.0015263105742633343,0.0003703211550600827,0.0019683334976434708,0.0013974474277347326,0.0006089316448196769,8.49648131406866e-05,0.00022727641044184566,0.005022416356950998,0.0029054537881165743,0.0009776754304766655,0.006107120309025049,0.04647165536880493,0.2344830185174942,0.07573449611663818,-0.09619845449924469,-0.24754992127418518,8.310592651367188,0.1632700264453888,0.323341838568449,0.2656175477057695,0.2519328241050243,0.1968359397025779,7.374823570251465,6.117701053619385,9.537088394165039,9.05557632446289,8.1701021194458,10.858917236328125,9.169418334960938,8.977692604064941,11.268868446350098,10.197565078735352
8,0.28393247723579407,0.0,0.0,0.0,0.3548659086227417,0.0,0.0,0.1320745348930359,0.0,0.0,0.0,0.0,0.06410712003707886,0.0,0.0,0.0,0.1635340452194214,0.0,0.0,0.0014858476351946592,0.3811520040035248,0.0,0.0,0.0,0.44576823711395264,0.0,0.0,0.1266339123249054,0.0,0.0,0.0,0.0,0.028120985254645348,0.0,0.0,0.0,0.015650281682610512,0.0,0.0,0.002674570307135582,0.10769230872392654,0.026187624782323837,0.03562796488404274,0.791417121887207,0.23372846841812134,0.059749532490968704,0.01750609464943409,0.8833317756652832,0.003021431155502796,0.0014729739632457495,0.00036118432763032615,0.0019637071527540684,0.0016019479371607304,0.0005852988688275218,8.416056516580284e-05,0.0002509188198018819,0.005302834324538708,0.002783418633043766,0.0009526696521788836,0.005893648602068424,0.04395008087158203,0.2291119396686554,0.08153898268938065,-0.09580496698617935,-0.26779991388320923,8.638100624084473,0.1773991882801056,0.32556837365031244,0.26829279057681565,0.258500167503953,0.19108594048768282,7.066629886627197,5.91326379776001,9.710954666137695,9.68418025970459,8.478774070739746,10.595233917236328,9.017139434814453,9.202242851257324,11.939443588256836,9.933971405029297
9,0.2791306972503662,0.0,0.0,0.0,0.3617183268070221,0.0,0.0,0.1232413649559021,0.0,0.0,0.0,0.0,0.06624165177345276,0.0,0.0,0.0,0.16857919096946716,0.0,0.0,0.0010887292446568608,0.3810803294181824,0.0,0.0,0.0,0.45532405376434326,0.0,0.0,0.11979571729898453,0.0,0.0,0.0,0.0,0.026438012719154358,0.0,0.0,0.0,0.015105688013136387,0.0,0.0,0.002256187377497554,0.12115384638309479,0.024950100108981133,0.03294382244348526,0.8017963767051697,0.26176679134368896,0.05435764789581299,0.014290748164057732,0.9119365215301514,0.002975796116515994,0.0014235239941626787,0.00034948604297824204,0.0019425146747380495,0.0015720374649390578,0.000569148687645793,8.174763934221119e-05,0.0002652140683494508,0.00510273315012455,0.0026813363656401634,0.0008963594445958734,0.005716037470847368,0.04152129590511322,0.23589542508125305,0.09295524656772614,-0.09598808735609055,-0.28146684169769287,9.080475807189941,0.19299212098121643,0.3254452930390835,0.2698062463104725,0.26475360579788687,0.17255469016730784,6.684276103973389,5.64654016494751,9.586318016052246,9.451920509338379,8.950555801391602,10.891120910644531,8.801338195800781,9.13086223602295,12.086423873901367,9.8158597946167
