step,lif1,lif2,lif3,lif4
0,0.22081725239753722,0.12896366934408435,0.08286469163955189,0.04545312564296183
50,0.2608277370035648,0.304965350329876,0.30817110832780603,0.13275781482458116
100,0.2524098783731461,0.296314128935337,0.3172415782511234,0.11877343960106372
150,0.25392515748739236,0.2869171085953713,0.3165607984364033,0.11813281431794168
200,0.2518138967454434,0.2840146191418171,0.32030111007392403,0.1122187512367964
250,0.2520235927402973,0.27989669725298877,0.3233120473474264,0.11046875126659869
300,0.2533163851499557,0.2750346128642559,0.32060610882937907,0.11151562623679638
350,0.25340160399675365,0.2737965270876884,0.32346470370888714,0.10918750166893006
400,0.25637975171208377,0.27161334931850434,0.32215767197310924,0.10849218897521495
450,0.2564556482434273,0.27068073093891143,0.32619798444211484,0.10894531406462193
