step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q_conv1,Q_conv2,Q_fc1,Q_fc2,S_conv1,S_conv2,S_fc1,S_fc2,absmu_median_conv1,absmu_median_conv2,absmu_median_fc1,absmu_median_fc2,absmu_q25_conv1,absmu_q25_conv2,absmu_q25_fc1,absmu_q25_fc2,absmu_q75_conv1,absmu_q75_conv2,absmu_q75_fc1,absmu_q75_fc2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,fr_lif1,fr_lif2,fr_lif3,fr_lif4,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.22811929881572723,0.0,0.0,0.0,0.38250166177749634,0.0,0.0,0.20925261080265045,0.0,0.0,0.0,0.0,0.08549070358276367,0.0,0.0,0.0,0.09264251589775085,0.0,0.0,0.001993172336369753,0.31450140476226807,0.0,0.0,0.0,0.4347239136695862,0.0,0.0,0.1730876863002777,0.0,0.0,0.0,0.0,0.05363796278834343,0.0,0.0,0.0,0.02067437581717968,0.0,0.0,0.003374640364199877,0.07115384936332703,0.0908183604478836,0.06450187414884567,0.5624750256538391,0.19437329471111298,0.1805681437253952,0.041251637041568756,0.8851328492164612,0.0004757362185046077,0.00024406297598034143,3.7288984458427876e-05,8.325502858497202e-05,0.00021861799177713692,9.243823296856135e-05,7.568740784336114e-06,5.196592610445805e-06,0.0008168003987520933,0.00048605160554870963,0.00011955728405155241,0.0003698400978464633,0.07182657718658447,0.18011154234409332,0.34394702315330505,-0.053674858063459396,-0.26633939146995544,4.808529376983643,0.24354813992977142,0.2212272397428751,0.1289930150017608,0.0829953164444305,0.04522656340443064,0.9697223901748657,0.8662881255149841,0.7161211371421814,0.7997891306877136,0.4553111791610718,0.5086838603019714,0.6696352958679199,0.7828091382980347,0.4637564420700073,0.8727213740348816
1,0.23872797191143036,0.0,0.0,0.0,0.38026896119117737,0.0,0.0,0.20770269632339478,0.0,0.0,0.0,0.0,0.08217182010412216,0.0,0.0,0.0,0.08820420503616333,0.0,0.0,0.0029243561439216137,0.30883756279945374,0.0,0.0,0.0,0.4331558644771576,0.0,0.0,0.16800689697265625,0.0,0.0,0.0,0.0,0.05772745609283447,0.0,0.0,0.0,0.02579544484615326,0.0,0.0,0.0064767999574542046,0.08653846383094788,0.08618762344121933,0.07740574330091476,0.6057884097099304,0.2088063359260559,0.1677497774362564,0.04674570634961128,0.8509910106658936,0.0009143704664893448,0.00045217375736683607,7.013051072135568e-05,0.00015154099673964083,0.0004182210541330278,0.00017168268095701933,1.4290598301158752e-05,1.0023611139331479e-05,0.0015745789278298616,0.0008914920617826283,0.0002212267427239567,0.0006658050115220249,0.0840679258108139,0.1732877939939499,0.3578985929489136,-0.05857566371560097,-0.2608654201030731,4.901675224304199,0.25382840633392334,0.22139267206192015,0.1281662323162891,0.08243906635150779,0.03880468856426887,1.849044919013977,1.621759295463562,1.2959305047988892,1.5520519018173218,0.8009965419769287,0.9803938269615173,1.2569208145141602,1.4807039499282837,0.880534291267395,1.6758826971054077
2,0.2451271116733551,0.0,0.0,0.0,0.3820268213748932,0.0,0.0,0.1982867568731308,0.0,0.0,0.0,0.0,0.09095264971256256,0.0,0.0,0.0,0.07988979667425156,0.0,0.0,0.0037167726550251245,0.31339356303215027,0.0,0.0,0.0,0.43111059069633484,0.0,0.0,0.16186432540416718,0.0,0.0,0.0,0.0,0.05739320442080498,0.0,0.0,0.0,0.027837200090289116,0.0,0.0,0.008401117287576199,0.07884615659713745,0.08586826175451279,0.08116853982210159,0.6307384967803955,0.19562430679798126,0.1671944558620453,0.05150853842496872,0.8528775572776794,0.0013985679252073169,0.0006279950030148029,9.872858936432749e-05,0.00022594688925892115,0.0006484623299911618,0.00024029359337873757,2.0198300262563862e-05,1.5221345165628009e-05,0.002338950987905264,0.0012394378427416086,0.00030952860834077,0.0009108622907660902,0.08782593160867691,0.17454619705677032,0.2984931468963623,-0.0639866292476654,-0.23498399555683136,4.922360897064209,0.25825828313827515,0.22105853833258152,0.12767616894096137,0.08219812889001331,0.03259375048219226,2.5837180614471436,2.2528553009033203,1.7733757495880127,2.200874090194702,1.0894527435302734,1.3336405754089355,1.8266851902008057,2.14617919921875,1.2362127304077148,2.311129093170166
3,0.26116833090782166,0.0,0.0,0.0,0.38685086369514465,0.0,0.0,0.19203002750873566,0.0,0.0,0.0,0.0,0.08596757799386978,0.0,0.0,0.0,0.06946713477373123,0.0,0.0,0.004516120068728924,0.31444859504699707,0.0,0.0,0.0,0.44018271565437317,0.0,0.0,0.15353058278560638,0.0,0.0,0.0,0.0,0.05585146322846413,0.0,0.0,0.0,0.027673328295350075,0.0,0.0,0.00831332616508007,0.07307692617177963,0.07369261234998703,0.08038951456546783,0.6417165398597717,0.20026133954524994,0.14086656272411346,0.04812450334429741,0.8092003464698792,0.0018681114306673408,0.0007780058076605201,0.00012527736544143409,0.00029977585654705763,0.000858612242154777,0.0002995429385919124,2.5796023692237213e-05,1.9236933439970016e-05,0.003194298828020692,0.0015498974826186895,0.0003884868638124317,0.0012130015529692173,0.08651527017354965,0.1599380373954773,0.22313235700130463,-0.07105637341737747,-0.19646748900413513,5.103646278381348,0.26315221190452576,0.2218509091436863,0.12857907471014188,0.0827437539654784,0.030539063047035596,3.321021556854248,2.9126627445220947,2.2635865211486816,2.8555028438568115,1.3953630924224854,1.648772120475769,2.5128817558288574,2.749244451522827,1.619923710823059,3.085622549057007
4,0.25705698132514954,0.0,0.0,0.0,0.3923816382884979,0.0,0.0,0.20075881481170654,0.0,0.0,0.0,0.0,0.08257009834051132,0.0,0.0,0.0,0.06349021196365356,0.0,0.0,0.0037422594614326954,0.31422147154808044,0.0,0.0,0.0,0.44501420855522156,0.0,0.0,0.1522732973098755,0.0,0.0,0.0,0.0,0.054252561181783676,0.0,0.0,0.0,0.02618512138724327,0.0,0.0,0.008053364232182503,0.07307692617177963,0.06546906381845474,0.077450692653656,0.6520957946777344,0.20264886319637299,0.1293347030878067,0.0452745147049427,0.7497659921646118,0.0024151280522346497,0.0009248173446394503,0.00015334605996031314,0.00035451166331768036,0.0010996765922755003,0.00035232663503848016,3.125297007500194e-05,2.4717581254662946e-05,0.004276536870747805,0.0018494145479053259,0.0004727221967186779,0.0015058512799441814,0.08342767506837845,0.14979073405265808,0.19547970592975616,-0.07605813443660736,-0.20120030641555786,5.204869270324707,0.25130313634872437,0.22202468372881415,0.1321529027435463,0.08518281662953085,0.035718750575906594,4.0236711502075195,3.5565855503082275,2.6854257583618164,3.4259188175201416,1.7466880083084106,2.0840532779693604,3.1692442893981934,3.3822407722473145,2.093716859817505,3.7899134159088135
5,0.2616709768772125,0.0,0.0,0.0,0.38664647936820984,0.0,0.0,0.20078928768634796,0.0,0.0,0.0,0.0,0.08488951623439789,0.0,0.0,0.0,0.06235642731189728,0.0,0.0,0.0036473150830715895,0.3190672695636749,0.0,0.0,0.0,0.4387018382549286,0.0,0.0,0.15494732558727264,0.0,0.0,0.0,0.0,0.053083326667547226,0.0,0.0,0.0,0.02592647075653076,0.0,0.0,0.008273778483271599,0.10384615510702133,0.06279440969228745,0.07639950513839722,0.6618762016296387,0.29878470301628113,0.12796469032764435,0.043534643948078156,0.7260840535163879,0.0030671306885778904,0.0010651106713339686,0.00018195886514149606,0.00043560221092775464,0.0013577397912740707,0.0004051731084473431,3.7138688639970496e-05,2.9268783691804856e-05,0.005450672935694456,0.002176787704229355,0.0005579068674705923,0.0018431565258651972,0.08244641870260239,0.1508806347846985,0.1490328162908554,-0.07836408913135529,-0.20450688898563385,5.277883529663086,0.2224084585905075,0.22292154103517534,0.14002900082501585,0.09097719179932028,0.05200781318591907,4.6865739822387695,4.150912761688232,3.162213087081909,3.9965813159942627,2.343080759048462,2.5500168800354004,3.902172803878784,3.925794839859009,2.6393086910247803,4.4409356117248535
6,0.2551564872264862,0.0,0.0,0.0,0.3850339651107788,0.0,0.0,0.1998663991689682,0.0,0.0,0.0,0.0,0.09618551284074783,0.0,0.0,0.0,0.05923093855381012,0.0,0.0,0.004526709206402302,0.31515321135520935,0.0,0.0,0.0,0.43876194953918457,0.0,0.0,0.15511155128479004,0.0,0.0,0.0,0.0,0.053971562534570694,0.0,0.0,0.0,0.027438096702098846,0.0,0.0,0.009563618339598179,0.14807692170143127,0.06099800392985344,0.08020474761724472,0.6748502850532532,0.4009004831314087,0.12693443894386292,0.04347939416766167,0.7431483864784241,0.00379172177053988,0.0012229117564857006,0.0002135841059498489,0.0005169404321350157,0.0014573187800124288,0.00046033383114263415,4.30545951530803e-05,3.6686175008071586e-05,0.0068436251021921635,0.002521013142541051,0.000652510963845998,0.002249056240543723,0.08608147501945496,0.15993165969848633,0.10797905921936035,-0.07877510040998459,-0.22342374920845032,5.322117805480957,0.1911034882068634,0.22122242979705337,0.15194294163957237,0.09934500483796001,0.07920312631176786,5.293071746826172,4.755377292633057,3.7889792919158936,4.442135810852051,3.095982551574707,3.023019313812256,4.684547424316406,4.485762119293213,3.220374345779419,5.092349529266357
7,0.2476058304309845,0.0,0.0,0.0,0.3856205642223358,0.0,0.0,0.2014528065919876,0.0,0.0,0.0,0.0,0.09563671797513962,0.0,0.0,0.0,0.061582546681165695,0.0,0.0,0.008101548068225384,0.3162979483604431,0.0,0.0,0.0,0.4415641129016876,0.0,0.0,0.15476404130458832,0.0,0.0,0.0,0.0,0.051549624651670456,0.0,0.0,0.0,0.026496395468711853,0.0,0.0,0.009327887557446957,0.17884615063667297,0.06295409053564072,0.07623471319675446,0.690219521522522,0.4666312038898468,0.12787747383117676,0.038367122411727905,0.7502081394195557,0.00475903507322073,0.001403649104759097,0.00023995671654120088,0.0005900767864659429,0.0016981814987957478,0.0005249282112345099,4.8047557356767356e-05,4.550633821054362e-05,0.008525021374225616,0.0029092109762132168,0.0007282131118699908,0.0026606626342982054,0.08272247016429901,0.16530977189540863,0.11157658696174622,-0.0801485925912857,-0.20856143534183502,5.528944969177246,0.1665608137845993,0.22245066188275814,0.16991047017509114,0.1108539124019444,0.11970312730176373,5.87322998046875,5.205956935882568,4.4387526512146,5.153458118438721,3.7593934535980225,3.6812140941619873,5.539264678955078,5.0511627197265625,3.9501636028289795,5.964955806732178
8,0.24019265174865723,0.0,0.0,0.0,0.3927323520183563,0.0,0.0,0.19314610958099365,0.0,0.0,0.0,0.0,0.09347987174987793,0.0,0.0,0.0,0.07278171181678772,0.0,0.0,0.007667298894375563,0.3247397541999817,0.0,0.0,0.0,0.4427042305469513,0.0,0.0,0.15084874629974365,0.0,0.0,0.0,0.0,0.04793141409754753,0.0,0.0,0.0,0.024744641035795212,0.0,0.0,0.009031230583786964,0.2173076868057251,0.06187624856829643,0.07029463350772858,0.7067863941192627,0.5472625494003296,0.12602666020393372,0.03164399042725563,0.7986276149749756,0.0053817760199308395,0.0015487812925130129,0.0002611694799270481,0.000678600394167006,0.0018276695627719164,0.0005809704889543355,5.210051313042641e-05,4.980697849532589e-05,0.01018416415899992,0.003251907881349325,0.0007921551587060094,0.00303011410869658,0.07738006860017776,0.173915296792984,0.11556880176067352,-0.08253216743469238,-0.1884755939245224,5.8204665184021,0.13450179994106293,0.22495325997471807,0.19365094846580178,0.12482375605963172,0.169742190791294,6.2627410888671875,5.417948246002197,5.218835353851318,5.861837387084961,4.481052875518799,4.526979923248291,6.474557876586914,5.75452995300293,4.854513168334961,6.680159091949463
9,0.24613259732723236,0.0,0.0,0.0,0.38762784004211426,0.0,0.0,0.1832152158021927,0.0,0.0,0.0,0.0,0.09027528017759323,0.0,0.0,0.0,0.08185680955648422,0.0,0.0,0.010892197489738464,0.3390146791934967,0.0,0.0,0.0,0.43857261538505554,0.0,0.0,0.14630842208862305,0.0,0.0,0.0,0.0,0.0445241816341877,0.0,0.0,0.0,0.023407096043229103,0.0,0.0,0.008173012174665928,0.23076923191547394,0.058802396059036255,0.06464669108390808,0.716367244720459,0.5810577869415283,0.12968595325946808,0.02541234716773033,0.8499764204025269,0.005923499818891287,0.0016709866467863321,0.0002778094494715333,0.0007932691369205713,0.0023287241347134113,0.0006206239340826869,5.539607082027942e-05,5.561955185839906e-05,0.011372548528015614,0.003507448360323906,0.0008407214190810919,0.003379655769094825,0.07208175212144852,0.18301041424274445,0.12154220044612885,-0.08502078056335449,-0.18696558475494385,6.169565200805664,0.11679267138242722,0.22662285551428796,0.21936525346711275,0.13932281916961073,0.21612500332295892,6.523942947387695,5.4134626388549805,5.983126640319824,6.624664306640625,5.378799915313721,5.531343936920166,7.34807825088501,6.353336811065674,5.704282283782959,7.486331939697266
