step,lif1,lif2,lif3,lif4
0,0.17656373836100103,0.08740278128526825,0.045515783076407385,0.003601562561816536
50,0.17631630178540944,0.0027772215985169173,2.5312501129519664e-05,0.0
100,0.17616248726844788,0.0029766600849688986,3.187500120475306e-05,0.0
150,0.17650884021073582,0.0034924071439536423,4.5312502134038365e-05,0.0
200,0.17878189869225025,0.004219482333978704,7.125000371161149e-05,0.0
250,0.18047203626483677,0.005118017447780404,9.156250302112312e-05,0.0
300,0.18069210313260559,0.006184203926386545,0.00011187500507730875,0.0
350,0.1813760421425104,0.00724306625143072,0.00013125000557920433,0.0
400,0.1814869024604559,0.008073071082599198,0.0001370312571998511,0.0
450,0.18202804032713177,0.009061401179787935,0.00014328125624160748,0.0
