step,lif1,lif2,lif3,lif4
0,0.17718302138149739,0.08743202952213779,0.045605002086376766,0.00372656257241033
50,0.17621489454060793,0.13710500201908873,0.14080531971529126,0.0
100,0.17682688184082507,0.13710280442726797,0.14060016300529238,0.0
150,0.1760873664170504,0.13650866394746117,0.14034047570079564,0.0
200,0.17635680951178073,0.1368121552700177,0.1401770378276706,0.0
250,0.17661523152142763,0.13680165738856886,0.1403246941417456,0.0
300,0.17642244193702936,0.1364821266348008,0.1401578195951879,0.0
350,0.17634848818182944,0.1366836642776616,0.14020500596612692,0.0
400,0.1761277708411217,0.13616357134946158,0.14003344491124156,0.0
450,0.17573663100600243,0.13613014883827418,0.139851100333035,0.0
