step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,9.296038627624512,5.736347198486328,6.479312896728516,9.222787857055664,12.36294174194336,9.199546335401445,0.08802925050258636,0.9966651797294617,0.9998252391815186,0.9995935559272766,0.9939216375350952,0.9994438290596008,0.00013873814896214753,9.262051025871187e-05,1.3897568351239897e-05,9.5625058747828e-05,0.09644970297813416,-0.09782662987709045,-0.16956862807273865,9.296039581298828,5.736347198486328,6.479312896728516,9.222787857055664,12.362942695617676,9.199546332670556,0.08802929520606995,0.9966652393341064,0.9998252987861633,0.9995936155319214,0.9939215779304504,0.9994438290596008,0.0013873819261789322,0.0009262050734832883,0.00013897566532250494,0.0009562500054016709,0.09644971787929535,-0.09782664477825165,-0.16956862807273865,5.437992572784424,4.267378330230713,4.911778450012207,4.944879531860352,4.5076165199279785,4.61083984375,5.434693813323975,4.753550052642822,5.717843532562256,5.160836696624756,4.974740505218506,4.965332508087158,0.5437992811203003,0.426737904548645,0.49117788672447205,0.494488000869751,0.4507616460323334,0.4610839784145355,0.5434693694114685,0.47535502910614014,0.5717843770980835,0.5160836577415466,0.4974741041660309,0.49653324484825134
1,9.43706226348877,5.634328365325928,6.5128278732299805,9.401192665100098,12.547599792480469,9.394450639626477,0.08946046233177185,0.9981694221496582,0.9995964765548706,0.9996614456176758,0.9966955184936523,0.9997200965881348,0.00024918929557316005,0.0001728353090584278,2.5492312488495372e-05,0.0001771018869476393,0.07103999704122543,-0.09845956414937973,-0.16394633054733276,9.432587623596191,5.42991828918457,6.404092788696289,9.470844268798828,12.59894847869873,9.374396968541518,0.08721578121185303,0.9973422288894653,0.9995607137680054,0.9996832609176636,0.9950751662254333,0.9994753003120422,0.0014414283214136958,0.0009322464466094971,0.00013612328621093184,0.0009405592572875321,0.04774518311023712,-0.09856828302145004,-0.15825171768665314,5.461802005767822,4.300628185272217,4.62331485748291,4.761124610900879,4.637546062469482,5.14200496673584,5.391602039337158,4.79487943649292,5.796013355255127,5.159266471862793,5.0068182945251465,4.997817039489746,1.0322867631912231,0.8102090954780579,0.9030146598815918,0.9201650619506836,0.8551641702651978,0.8732349276542664,1.0271657705307007,0.9021352529525757,1.0855311155319214,0.9795818328857422,0.9388489127159119,0.9373503923416138
2,9.373225212097168,5.548059463500977,6.423089027404785,9.357521057128906,12.495522499084473,9.339083318386146,0.09106722474098206,0.9985759258270264,0.9999878406524658,0.9996469616889954,0.9974817037582397,0.9997345209121704,0.00037249590968713164,0.00024474706151522696,3.626294346759096e-05,0.0002501518465578556,0.0692053735256195,-0.09853173792362213,-0.160974383354187,9.161614418029785,5.34356689453125,6.187650203704834,9.191056251525879,12.343066215515137,9.074195782409292,0.09236612170934677,0.9964934587478638,0.9999169111251831,0.9996422529220581,0.9934065937995911,0.9994328618049622,0.0015070140361785889,0.0009277088684029877,0.00013792123354505748,0.0009644046658650041,0.06580563634634018,-0.09819164872169495,-0.15985293686389923,5.404076099395752,4.228052139282227,4.565747261047363,4.715965270996094,4.518484115600586,4.955674171447754,5.484218597412109,4.6869025230407715,5.692074298858643,5.206287384033203,4.945748329162598,4.937475204467773,1.4677844047546387,1.149749517440796,1.2675409317016602,1.2983993291854858,1.2186594009399414,1.244736909866333,1.4663788080215454,1.2794300317764282,1.5444087982177734,1.396142840385437,1.3333231210708618,1.3312854766845703
3,9.270503044128418,5.5413055419921875,6.381350040435791,9.234498023986816,12.297904968261719,9.242799234152804,0.09121379256248474,0.9987913370132446,0.9999971389770508,0.9996440410614014,0.9978970885276794,0.9997731447219849,0.0004626111185643822,0.00030882839928381145,4.586007344187237e-05,0.0003213319869246334,0.06240826100111008,-0.0986102968454361,-0.15722915530204773,8.747783660888672,5.398717880249023,6.144867420196533,8.689925193786621,11.399996757507324,8.692478755753227,0.10206317156553268,0.9975076913833618,0.9998186826705933,0.9996777772903442,0.9954221844673157,0.9995385408401489,0.0015455716056749225,0.0009221313521265984,0.00013911770656704903,0.000986098195426166,0.04499226063489914,-0.09812971949577332,-0.16164469718933105,5.436831951141357,4.290750026702881,4.684835433959961,4.619973182678223,4.5299224853515625,4.843642711639404,5.624130725860596,4.7366557121276855,5.970433235168457,5.059928894042969,4.979710578918457,4.973190784454346,1.8602917194366455,1.4586371183395386,1.6057243347167969,1.627404808998108,1.5438945293426514,1.5767241716384888,1.8594269752502441,1.622137427330017,1.9567586183547974,1.7582587003707886,1.6869258880615234,1.6841590404510498
4,9.097975730895996,5.45803165435791,6.252443313598633,9.061838150024414,11.999680519104004,9.081030026498523,0.09061713516712189,0.9990636706352234,0.9998800754547119,0.9997696876525879,0.9983496069908142,0.9998036623001099,0.0006106827640905976,0.0003708202566485852,5.490651892614551e-05,0.00038197971298359334,0.05092421919107437,-0.09863150119781494,-0.1626708209514618,8.153305053710938,5.073793888092041,5.699568748474121,8.143767356872559,10.439957618713379,8.09738236793334,0.10271230340003967,0.9965478777885437,0.9985589981079102,0.999687135219574,0.9934297800064087,0.9994330406188965,0.0018390280893072486,0.001024323981255293,0.00014499315875582397,0.0010013481369242072,0.027507007122039795,-0.09753475338220596,-0.1870194375514984,5.692172527313232,4.336113452911377,4.687844753265381,4.98694372177124,4.525187015533447,4.8095574378967285,5.67912483215332,4.745924472808838,5.945376873016357,5.201910972595215,5.061015605926514,5.049801349639893,2.208143711090088,1.7334502935409546,1.9069279432296753,1.9518665075302124,1.8318300247192383,1.8719494342803955,2.2078545093536377,1.9284303188323975,2.3227527141571045,2.0890166759490967,2.0052220821380615,2.001384973526001
5,8.873579025268555,5.305019378662109,6.109509468078613,8.836061477661133,11.582733154296875,8.859204664017629,0.09083811938762665,0.999143660068512,0.999523401260376,0.9996461272239685,0.9985645413398743,0.9998226165771484,0.0007267314940690994,0.0004267470503691584,6.289403245318681e-05,0.00043967916280962527,0.03853664547204971,-0.0985594168305397,-0.17160971462726593,7.359160900115967,4.371630668640137,5.212027549743652,7.391064643859863,9.23024845123291,7.330248562301074,0.11814983189105988,0.9983818531036377,0.9998800158500671,0.999751627445221,0.9968475103378296,0.9997202754020691,0.002116318792104721,0.0010950731812044978,0.00014550017658621073,0.0010277816327288747,0.06213679164648056,-0.09651836007833481,-0.21928195655345917,5.796989440917969,4.513733386993408,4.468175888061523,4.800659656524658,4.756267070770264,4.792355537414551,5.910870552062988,4.939815521240234,6.3061418533325195,5.446823596954346,5.173182964324951,5.161728382110596,2.514129638671875,1.976731300354004,2.1498663425445557,2.2257542610168457,2.084561586380005,2.1325128078460693,2.513948917388916,2.200425148010254,2.643840789794922,2.378450393676758,2.28202223777771,2.2770047187805176
6,8.541937828063965,4.998709678649902,5.840068817138672,8.557843208312988,11.012962341308594,8.533906194826809,0.08917657285928726,0.9993455410003662,0.9999820590019226,0.9996619820594788,0.9989266991615295,0.999826967716217,0.0008816987392492592,0.00048243673518300056,6.925242632860318e-05,0.0004912496660836041,0.031972311437129974,-0.09825581312179565,-0.18100661039352417,6.183863162994385,3.523466110229492,4.182507514953613,6.4489030838012695,7.72539758682251,6.166249736962408,0.1323673278093338,0.9986732602119446,0.999982476234436,0.9996026754379272,0.9972993731498718,0.9997125267982483,0.0031299993861466646,0.001411932404153049,0.00014496484072878957,0.0011312291026115417,0.13253499567508698,-0.09286538511514664,-0.2331397533416748,6.207364559173584,4.740321159362793,4.89479398727417,5.439774513244629,4.863776206970215,5.35559606552124,6.39461612701416,5.25584602355957,7.162853717803955,5.96342134475708,5.62783670425415,5.604122638702393,2.7808048725128174,2.1917896270751953,2.4051012992858887,2.479228973388672,2.3069844245910645,2.361567974090576,2.7802915573120117,2.439786195755005,2.9233341217041016,2.6294779777526855,2.529836654663086,2.5226480960845947
7,7.983246803283691,4.363455295562744,5.323966026306152,8.13444995880127,10.215980529785156,7.977380124846493,0.0873398706316948,0.9994495511054993,0.9999996423721313,0.9996839761734009,0.9990738034248352,0.9998645782470703,0.0010998182697221637,0.0005490120965987444,7.46722798794508e-05,0.0005604695761576295,0.030704542994499207,-0.09714306890964508,-0.19049061834812164,4.702958583831787,2.5551209449768066,2.995920419692993,5.151532173156738,6.091485500335693,4.695230870168559,0.17336887121200562,0.9991172552108765,0.9999588131904602,0.9997014403343201,0.9979060292243958,0.9999216794967651,0.006175929214805365,0.0020367212127894163,0.00015486385382246226,0.00116080476436764,0.22306784987449646,-0.08360467851161957,-0.2446836531162262,7.391195297241211,5.049780368804932,5.403017520904541,5.948833465576172,5.239050388336182,5.5244317054748535,7.757712364196777,5.68760347366333,8.258275985717773,6.724236488342285,6.2984137535095215,6.252583026885986,3.007329225540161,2.3814785480499268,2.6306967735290527,2.7003679275512695,2.501218557357788,2.564279794692993,3.0098800659179688,2.650020122528076,3.166468381881714,2.8459417819976807,2.7457683086395264,2.734848737716675
8,7.211380481719971,3.599595308303833,4.638311862945557,7.534534454345703,9.218338012695312,7.207520302354336,0.08559360355138779,0.99958735704422,0.9999955296516418,0.9996507167816162,0.9993488788604736,0.9998921751976013,0.0014250202802941203,0.0006410234491340816,7.913007721072063e-05,0.0006180921918712556,0.07028906047344208,-0.09465355426073074,-0.19867181777954102,3.666027545928955,1.9832432270050049,2.270705461502075,4.082211017608643,4.8985915184021,3.662682326493181,0.19754470884799957,0.9993828535079956,0.9997764229774475,0.9998465180397034,0.9984179139137268,0.9998866319656372,0.011043901555240154,0.002896258607506752,0.0001566560531500727,0.0011963091092184186,0.30399665236473083,-0.06723755598068237,-0.24074573814868927,8.64932918548584,5.643853664398193,5.811117172241211,7.012337684631348,5.8876166343688965,6.26460599899292,8.926177978515625,6.323165416717529,9.815320014953613,8.109554290771484,7.244307994842529,7.124025344848633,3.202970266342163,2.5478410720825195,2.8309144973754883,2.889406681060791,2.6732664108276367,2.7428605556488037,3.2098476886749268,2.8350493907928467,3.3774144649505615,3.032261371612549,2.934183120727539,2.916999578475952
9,6.318922996520996,2.8985707759857178,3.8965234756469727,6.807397365570068,8.145198822021484,6.3164663527230385,0.08407328277826309,0.9996790885925293,0.9990569949150085,0.9997247457504272,0.999523401260376,0.9999483823776245,0.0021407080348581076,0.0007659337716177106,8.173409150913358e-05,0.0006837981636635959,0.11560911685228348,-0.09004813432693481,-0.2026280164718628,2.850567102432251,1.570037603378296,1.7456939220428467,3.1987664699554443,3.9300715923309326,2.8493031515738476,0.23915652930736542,0.9996667504310608,0.9997303485870361,0.9998219013214111,0.999233603477478,0.999943196773529,0.02001825161278248,0.0042325351387262344,0.00015166419325396419,0.0012320829555392265,0.38876745104789734,-0.04192954674363136,-0.2628083825111389,10.743365287780762,6.131916046142578,6.867269992828369,8.729690551757812,6.7731099128723145,6.666442394256592,11.416912078857422,7.383840084075928,11.896024703979492,9.95213794708252,8.656070709228516,8.398387908935547,3.370957374572754,2.6936306953430176,3.0066378116607666,3.051926851272583,2.826019287109375,2.9009602069854736,3.383120536804199,2.996238946914673,3.563584089279175,3.192500114440918,3.098557710647583,3.07126784324646
