model,gamma,f,aggregator,attack,accuracy
snn_atan12,1.0,0,TrMean,Optimal_ALittleIsEnough_neg1,
snn_atan12,1.0,0,TrMean,SignFlipping,
snn_atan12,1.0,0,TrMean,Optimal_InnerProductManipulation,
snn_atan12,1.0,0,GeometricMedian,Optimal_ALittleIsEnough_neg1,
snn_atan12,1.0,0,GeometricMedian,SignFlipping,
snn_atan12,1.0,0,GeometricMedian,Optimal_InnerProductManipulation,
snn_atan12,1.0,0,MultiKrum,Optimal_ALittleIsEnough_neg1,
snn_atan12,1.0,0,MultiKrum,SignFlipping,
snn_atan12,1.0,0,MultiKrum,Optimal_InnerProductManipulation,
snn_atan12,1.0,0,CenteredClipping,Optimal_ALittleIsEnough_neg1,
snn_atan12,1.0,0,CenteredClipping,SignFlipping,
snn_atan12,1.0,0,CenteredClipping,Optimal_InnerProductManipulation,
snn_atan12,1.0,1,TrMean,Optimal_ALittleIsEnough_neg1,
snn_atan12,1.0,1,TrMean,SignFlipping,
snn_atan12,1.0,1,TrMean,Optimal_InnerProductManipulation,
snn_atan12,1.0,1,GeometricMedian,Optimal_ALittleIsEnough_neg1,
snn_atan12,1.0,1,GeometricMedian,SignFlipping,
snn_atan12,1.0,1,GeometricMedian,Optimal_InnerProductManipulation,
snn_atan12,1.0,1,MultiKrum,Optimal_ALittleIsEnough_neg1,
snn_atan12,1.0,1,MultiKrum,SignFlipping,
snn_atan12,1.0,1,MultiKrum,Optimal_InnerProductManipulation,
snn_atan12,1.0,1,CenteredClipping,Optimal_ALittleIsEnough_neg1,
snn_atan12,1.0,1,CenteredClipping,SignFlipping,
snn_atan12,1.0,1,CenteredClipping,Optimal_InnerProductManipulation,
snn_atan12,1.0,2,TrMean,Optimal_ALittleIsEnough_neg1,
snn_atan12,1.0,2,TrMean,SignFlipping,
snn_atan12,1.0,2,TrMean,Optimal_InnerProductManipulation,
snn_atan12,1.0,2,GeometricMedian,Optimal_ALittleIsEnough_neg1,
snn_atan12,1.0,2,GeometricMedian,SignFlipping,
snn_atan12,1.0,2,GeometricMedian,Optimal_InnerProductManipulation,
snn_atan12,1.0,2,MultiKrum,Optimal_ALittleIsEnough_neg1,
snn_atan12,1.0,2,MultiKrum,SignFlipping,
snn_atan12,1.0,2,MultiKrum,Optimal_InnerProductManipulation,
snn_atan12,1.0,2,CenteredClipping,Optimal_ALittleIsEnough_neg1,
snn_atan12,1.0,2,CenteredClipping,SignFlipping,
snn_atan12,1.0,2,CenteredClipping,Optimal_InnerProductManipulation,
snn_atan12,1.0,3,TrMean,Optimal_ALittleIsEnough_neg1,
snn_atan12,1.0,3,TrMean,SignFlipping,
snn_atan12,1.0,3,TrMean,Optimal_InnerProductManipulation,
snn_atan12,1.0,3,GeometricMedian,Optimal_ALittleIsEnough_neg1,
snn_atan12,1.0,3,GeometricMedian,SignFlipping,
snn_atan12,1.0,3,GeometricMedian,Optimal_InnerProductManipulation,
snn_atan12,1.0,3,MultiKrum,Optimal_ALittleIsEnough_neg1,
snn_atan12,1.0,3,MultiKrum,SignFlipping,
snn_atan12,1.0,3,MultiKrum,Optimal_InnerProductManipulation,
snn_atan12,1.0,3,CenteredClipping,Optimal_ALittleIsEnough_neg1,
snn_atan12,1.0,3,CenteredClipping,SignFlipping,
