step,lif1,lif2,lif3,lif4
0,0.17656373836100103,0.08740278128526825,0.045515783076407385,0.003601562561816536
50,0.1747623946145177,0.1002953834575601,0.05987890934920871,0.0
100,0.17498576272279026,0.10032446054974571,0.0599235968303401,0.0
150,0.1754911945387721,0.10026965087105055,0.06000437793554738,0.0
200,0.1757580744847655,0.10044606719719014,0.059963440556311975,0.0
250,0.17490643065422773,0.10036821101733948,0.0598306278034579,0.0
300,0.17485189940780402,0.10014841047814116,0.059691096857422965,0.0
350,0.17532255414873363,0.10015092586399987,0.059641252991859794,0.0
400,0.1751403507217765,0.10003168730938342,0.05961437772260979,0.0
450,0.1753612721338868,0.09991945579182357,0.05948140910710209,0.0
