step,lif1,lif2,lif3,lif4
0,0.1775420508161187,0.08746757628017804,0.04572984573431313,0.003929687606869265
50,0.1750966975092888,0.06847365567681209,0.036181876687332984,0.002828125078813173
100,0.17430913317948582,0.06534675135499583,0.03436000155896181,0.0015078125230502336
150,0.1752100604772568,0.07001852863540535,0.03692406430200208,0.0043359376152511675
200,0.17456004906445743,0.0608169665895366,0.03206718898494728,0.00031250000407453623
250,0.17480844866484405,0.057428489522631035,0.03042484523000894,6.250000093132258e-05
300,0.17300911873579025,0.0582372544161899,0.030938282779898147,0.00029687500617001203
350,0.17359975650906562,0.056757591297841824,0.030445626426517262,0.00023437500465661284
400,0.17369276635348796,0.05598154181408973,0.029695001388354285,5.468750081490726e-05
450,0.1728365654498339,0.056456371024432885,0.030142345101157847,0.0003046875062864274
