step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,9.503483772277832,5.347756385803223,6.479475021362305,9.51694393157959,12.677186965942383,9.4287093010948,0.07958200573921204,0.9977441430091858,0.9993554353713989,0.9997069239616394,0.995851993560791,0.9995999932289124,0.00013222885900177062,8.900149259716272e-05,1.3371943168749567e-05,9.146910451818258e-05,0.03628827631473541,-0.0984869971871376,-0.1659812033176422,9.503483772277832,5.347756385803223,6.479475498199463,9.516944885253906,12.677186012268066,9.428709308753149,0.07958205044269562,0.9977442026138306,0.9993554353713989,0.9997069835662842,0.9958520531654358,0.9995998740196228,0.0013222892303019762,0.0008900149841792881,0.00013371945533435792,0.0009146928787231445,0.03628827631473541,-0.098486989736557,-0.1659812033176422,5.346772193908691,4.291892051696777,4.916629791259766,4.9830474853515625,4.713150978088379,4.707265853881836,5.376100540161133,4.734594345092773,5.737005710601807,5.17365026473999,4.998011112213135,4.986284255981445,0.5346772074699402,0.42918920516967773,0.49166297912597656,0.4983047544956207,0.4713151156902313,0.4707266092300415,0.5376101136207581,0.473459392786026,0.5737005472183228,0.517365038394928,0.49980106949806213,0.4986284375190735
1,9.502769470214844,5.433239936828613,6.490990161895752,9.511427879333496,12.62628173828125,9.390170232897063,0.08355236798524857,0.9979974627494812,0.9999418258666992,0.9997294545173645,0.9962719082832336,0.9997277855873108,0.0002716117596719414,0.00017138599650934339,2.524533738323953e-05,0.00017631360969971865,0.050230830907821655,-0.09853733330965042,-0.16817699372768402,9.33139705657959,5.294475078582764,6.354266166687012,9.358062744140625,12.4285249710083,9.229011399991407,0.0900762528181076,0.9969898462295532,0.9998677968978882,0.9997178316116333,0.9943468570709229,0.9994521141052246,0.00165891635697335,0.0009276111959479749,0.00013529461284633726,0.0009598814067430794,0.06273679435253143,-0.09816890209913254,-0.16926774382591248,5.4408159255981445,4.308171272277832,4.536057472229004,4.801882266998291,4.57454252243042,4.941086292266846,5.492650032043457,4.812027454376221,5.753430366516113,5.25424337387085,4.991490840911865,4.9831671714782715,1.0240129232406616,0.8161192536354065,0.8944345116615295,0.9274791479110718,0.8806226849555969,0.9163123965263367,1.0318236351013184,0.9062370657920837,1.0900250673294067,0.9898626804351807,0.9476929903030396,0.9457728266716003
2,9.42129898071289,4.982370853424072,6.448362827301025,9.474237442016602,12.29331111907959,9.394211888313317,0.08843090385198593,0.9985520243644714,0.9995156526565552,0.9997138381004333,0.9973469376564026,0.9997790455818176,0.00046588704572059214,0.00024607518571428955,3.641311195679009e-05,0.0002547079639043659,0.05234706029295921,-0.09883877635002136,-0.17068837583065033,8.900628089904785,3.9223849773406982,6.036019325256348,9.102087020874023,11.425570487976074,8.831352922193075,0.09808500856161118,0.9968722462654114,0.999288022518158,0.9996259212493896,0.9939709901809692,0.9994189143180847,0.002112756948918104,0.0009535802528262138,0.0001394999271724373,0.0009359762188978493,0.0557546429336071,-0.09843059629201889,-0.1721840649843216,5.637753963470459,4.357668876647949,4.810011863708496,5.026831150054932,4.696896553039551,4.917941570281982,5.674959659576416,5.073200702667236,6.156461715698242,5.276112079620361,5.162784099578857,5.155124664306641,1.4809123277664185,1.166743278503418,1.281741738319397,1.3342516422271729,1.259124755859375,1.3121836185455322,1.4913216829299927,1.319402813911438,1.5900444984436035,1.4139831066131592,1.3649710416793823,1.3626431226730347
3,9.184682846069336,3.9690263271331787,6.2036967277526855,9.411069869995117,11.715965270996094,9.170771245340473,0.08967427164316177,0.9989697337150574,0.999917209148407,0.9996054768562317,0.9981157183647156,0.9998937249183655,0.0006971153779886663,0.00031734121148474514,4.666555832955055e-05,0.00032276668935082853,0.02977558970451355,-0.09897509962320328,-0.16671060025691986,7.9670090675354,2.6546380519866943,5.103170871734619,8.668058395385742,10.01645278930664,7.93786034415448,0.0981752872467041,0.9978951811790466,0.9996394515037537,0.999575674533844,0.9955999851226807,0.9994416832923889,0.0033319243229925632,0.001055619097314775,0.00013484580267686397,0.0009615980088710785,0.03693567216396332,-0.09709860384464264,-0.16039174795150757,6.024305820465088,4.647449493408203,5.226527690887451,5.056735038757324,5.34987735748291,5.259801387786865,6.14837646484375,5.398577690124512,6.570328235626221,5.705932140350342,5.538791179656982,5.522090435028076,1.9209247827529907,1.5043846368789673,1.664834976196289,1.6970300674438477,1.6580299139022827,1.6963989734649658,1.9419666528701782,1.7183072566986084,2.0671987533569336,1.8307026624679565,1.7699779272079468,1.766640067100525
4,8.327279090881348,2.9056766033172607,5.374033451080322,8.894389152526855,10.470404624938965,8.319366532476334,0.10101117193698883,0.9992644786834717,0.9999602437019348,0.999761700630188,0.9985281825065613,0.9998812675476074,0.0011245321948081255,0.00041537577635608613,5.7526096497895196e-05,0.00040590084972791374,0.03136102110147476,-0.09783967584371567,-0.1566525399684906,6.058094024658203,1.9930192232131958,3.625262498855591,7.034234523773193,7.6810150146484375,6.0438502849064015,0.13816142082214355,0.9987424612045288,0.999998152256012,0.9996269345283508,0.9969291687011719,0.9997867941856384,0.006225599441677332,0.0014558940893039107,0.00013661442790180445,0.0010525558609515429,0.1308005452156067,-0.09063027054071426,-0.17812322080135345,7.254396915435791,5.405869007110596,5.780229568481445,5.915254592895508,5.656955242156982,5.64246940612793,7.286767482757568,6.082090377807617,8.243119239807129,6.3956685066223145,6.366281986236572,6.340949058532715,2.4226369857788086,1.8717631101608276,2.0573596954345703,2.1006717681884766,2.0400948524475098,2.072226047515869,2.4472763538360596,2.138293504714966,2.6452975273132324,2.265645980834961,2.2061266899108887,2.20153546333313
5,7.154458999633789,2.2941904067993164,4.404864311218262,8.000336647033691,8.965256690979004,7.150066483741213,0.1158323585987091,0.9994828701019287,0.9992385506629944,0.9997588992118835,0.9990273118019104,0.9998907446861267,0.0019166251877322793,0.0005494192591868341,6.787235179217532e-05,0.0004930770955979824,0.0603753998875618,-0.09495188295841217,-0.16392391920089722,4.840602874755859,1.7388916015625,2.8556408882141113,5.744240760803223,6.165876388549805,4.833598747140087,0.1653265655040741,0.9992963671684265,0.9998461604118347,0.9998369812965393,0.9981095194816589,0.9998986721038818,0.010626636445522308,0.001966544659808278,0.00014353840379044414,0.00116105901543051,0.2079165279865265,-0.081501305103302,-0.2021670788526535,8.268108367919922,5.908181667327881,6.540290832519531,6.5353193283081055,6.683150768280029,6.495150089263916,8.52635669708252,6.766905784606934,10.086554527282715,7.316633701324463,7.3126654624938965,7.2586565017700195,2.9705417156219482,2.2528798580169678,2.4849321842193604,2.5226528644561768,2.4831504821777344,2.4920814037323,3.018594741821289,2.580345869064331,3.3423142433166504,2.745251417160034,2.689274549484253,2.6811916828155518
6,5.24535608291626,1.7023305892944336,3.0911471843719482,6.165140628814697,6.560396194458008,5.243663267558309,0.14183112978935242,0.9997031688690186,0.9998264312744141,0.9997743964195251,0.9994137287139893,0.9999516606330872,0.00415545329451561,0.000847021525260061,7.915931200841442e-05,0.0005839879158884287,0.14815279841423035,-0.08386462926864624,-0.20380721986293793,3.0139524936676025,1.325364112854004,1.79766845703125,3.508223533630371,3.8424816131591797,3.0124058922623815,0.2152770310640335,0.9996663928031921,0.9995638728141785,0.9998992681503296,0.9991830587387085,0.9999437928199768,0.024740232154726982,0.004000661429017782,0.0001503869571024552,0.0012908779317513108,0.36236572265625,-0.03656081482768059,-0.33753588795661926,11.855687141418457,7.414276123046875,8.453011512756348,8.333597183227539,9.110651969909668,9.063119888305664,12.214978218078613,9.411534309387207,14.940614700317383,9.634421348571777,10.043190002441406,9.750588417053223,3.7687578201293945,2.729807138442993,3.0401198863983154,3.0533056259155273,3.0950229167938232,3.1022684574127197,3.8575599193573,3.210096597671509,4.413508415222168,3.3751144409179688,3.364556074142456,3.3381073474884033
7,4.0488409996032715,1.4658827781677246,2.384575843811035,4.799555778503418,5.057898044586182,4.048207797174245,0.17235498130321503,0.99979567527771,0.9999396204948425,0.9998329281806946,0.9995700120925903,0.9999699592590332,0.007327923085540533,0.0012606059899553657,8.963903383119032e-05,0.0006705705891363323,0.22970327734947205,-0.06728142499923706,-0.2514568269252777,2.4919800758361816,1.2467116117477417,1.5509506464004517,2.8194563388824463,3.1547281742095947,2.4907893022917373,0.25596392154693604,0.9997224807739258,0.9996629953384399,0.999862551689148,0.99934321641922,0.9999769330024719,0.03602495416998863,0.00535719096660614,0.0001597415830474347,0.0013674984220415354,0.42250585556030273,-0.0041863638907670975,-0.3884948194026947,14.053951263427734,7.969057559967041,9.738747596740723,9.910860061645508,10.24198055267334,9.671955108642578,14.659571647644043,10.779373168945312,18.540599822998047,11.225844383239746,11.679194450378418,11.188482284545898,4.717555046081543,3.220543146133423,3.6667089462280273,3.6879043579101562,3.754753351211548,3.711987257003784,4.868586540222168,3.915346145629883,5.7418599128723145,4.099741458892822,4.138498783111572,4.07700777053833
8,3.5375051498413086,1.400099515914917,2.093412399291992,4.167182922363281,4.447631359100342,3.5370484790237318,0.19460850954055786,0.9998716711997986,0.9995833039283752,0.9998345375061035,0.9998819231987,0.9999887943267822,0.010451283305883408,0.0016898562898859382,9.805669833440334e-05,0.0007655138033442199,0.2851898670196533,-0.05564910173416138,-0.2835943400859833,2.558626413345337,1.3053958415985107,1.5884671211242676,2.870131015777588,3.2799885272979736,2.557679590140892,0.2637539803981781,0.9997839331626892,0.9999960660934448,0.9998548626899719,0.9994584918022156,0.9999703764915466,0.03805796056985855,0.005695095751434565,0.00015043593884911388,0.0014465217245742679,0.4355579912662506,-0.013274907134473324,-0.3802420496940613,14.743851661682129,8.399443626403809,9.798176765441895,10.337276458740234,11.071748733520508,9.83485221862793,15.376301765441895,11.281155586242676,19.669275283813477,11.732039451599121,12.224411964416504,11.775080680847168,5.669306755065918,3.711714029312134,4.250076770782471,4.315939903259277,4.4517035484313965,4.294089317321777,5.872244834899902,4.615549087524414,7.081419467926025,4.824256896972656,4.908629894256592,4.812140941619873
9,3.2206315994262695,1.369439959526062,1.9177405834197998,3.746628522872925,4.0737810134887695,3.220368502580948,0.21241594851016998,0.9999098181724548,0.9999461770057678,0.9998528957366943,0.9998829364776611,0.9999918341636658,0.01365189254283905,0.0021664814557880163,0.00010453775030327961,0.0008292500860989094,0.33030906319618225,-0.046335604041814804,-0.30119195580482483,2.5009539127349854,1.3188711404800415,1.5558807849884033,2.7339563369750977,3.2154340744018555,2.5000920972713305,0.27046647667884827,0.9996652603149414,0.9998958706855774,0.999754011631012,0.9991910457611084,0.9999673962593079,0.04311087727546692,0.006561333779245615,0.0001522767561255023,0.0013378121657297015,0.46027517318725586,-0.01231443788856268,-0.34696537256240845,16.78885269165039,9.178640365600586,9.782038688659668,11.746158599853516,12.185816764831543,11.516881942749023,17.09923553466797,12.611937522888184,21.776832580566406,12.94415283203125,13.563055992126465,13.04613971710205,6.734892845153809,4.22952127456665,4.775918006896973,5.021714210510254,5.189765453338623,4.98331356048584,6.954110622406006,5.377007484436035,8.502113342285156,5.596136569976807,5.736449718475342,5.60067081451416
