step,lif1,lif2,lif3,lif4
0,0.2215250086784363,0.12889716506237164,0.0829214101145044,0.04571093839476817
50,0.2635474909842014,0.29784239903092385,0.30733391985297204,0.13123437747359273
100,0.251926506459713,0.29385504692792896,0.3167129828035832,0.12060156419873239
150,0.2528351436555386,0.287450602799654,0.31874860852956777,0.11727343931794165
200,0.24982234597206116,0.27896371364593503,0.319605015963316,0.11082031369209289
250,0.25288618117570877,0.2772122006118297,0.3202017344534397,0.11189062632620332
300,0.2575838150084019,0.2720809772610665,0.3197289215773344,0.11052343890070918
350,0.2564169299602509,0.2721609555184841,0.3216995462030172,0.11068750187754631
400,0.25845296174287796,0.2704955521225929,0.3226190782338382,0.10982812628149988
450,0.25736908584833146,0.26741644889116284,0.32685517117381097,0.10675781428813935
