step,lif1,lif2,lif3,lif4
0,0.175810164809227,0.08715292765343294,0.04546375248464756,0.0036406250693835317
50,0.25068425089120866,0.3148201595246792,0.2514659501798451,0.1439062516950071
100,0.24951182559132573,0.29507428511977196,0.2503490749374032,0.13193750221282244
150,0.24865953102707863,0.2937374198436737,0.2489428240805865,0.12543750256299974
200,0.2538381953537464,0.29328751757740973,0.24769454315304756,0.12013281397521496
250,0.2527374203503132,0.28678241461515425,0.24460719954222437,0.11817187748849392
300,0.2521591587364674,0.28304684370756156,0.242619541734457,0.11842968970537185
350,0.25170187711715697,0.279959100484848,0.24109454419463874,0.11595312654972076
400,0.2525961303710937,0.2772197930514813,0.23959954176098108,0.1151796890795231
450,0.2539284932613374,0.2756970642507076,0.2385384484380484,0.11517187654972076
