step,lif1,lif2,lif3,lif4
0,0.1775420508161187,0.08746757628017804,0.04572984573431313,0.003929687606869265
50,0.175925154350698,0.07021242487652671,0.036735783058684315,0.0
100,0.1747665985673666,0.0634910630967397,0.03275515785862808,0.0
150,0.17476508665829898,0.06000803054906101,0.030938126469700365,0.0
200,0.17467630766332148,0.05563227404336886,0.028700001373181294,0.0
250,0.17514022927731274,0.05484548256694779,0.028846251324612236,0.0
300,0.17286462116986512,0.05195551651715959,0.02693375126036699,0.0
350,0.17339903183281422,0.049813084864986194,0.025782813804325993,0.0
400,0.17319680169224738,0.04860927661079585,0.025359844978047476,0.0
450,0.172207984700799,0.047047972621580815,0.024599688617217907,0.0
